index,candidate,elapsed_s,rationale,worst_return_db,isolation_db,worst_return_expr,worst_coupling_expr,x_return_worst_db,y_return_worst_db,xy_return_balance_db,same_element_xy_isolation_db,same_feed_inter_element_isolation_db,patch_side_mm,port_width_mm,dualpol_slotcoupled_enabled,feed_substrate_h_mm,slot_coupled_aperture_length_a_mm,slot_coupled_aperture_length_b_mm,slot_coupled_aperture_width_mm,slot_coupled_offset_a_mm,slot_coupled_offset_b_mm,slot_coupled_aperture_center_a_v_mm,slot_coupled_aperture_center_b_u_mm,slot_coupled_feedline_length_mm,slot_coupled_feedline_width_mm,slot_coupled_feedline_offset_a_v_mm,slot_coupled_feedline_offset_b_u_mm,dualpol_parasitic_enabled,parasitic_side_mm,air_gap_mm,isolation_slot_enabled,isolation_slot_length_mm,isolation_slot_width_mm,isolation_slot_inner_mm,score,slot_coupled_stub_enabled,slot_coupled_stub_length_mm,slot_coupled_stub_width_mm,slot_coupled_stub_offset_mm,slot_coupled_stub_side_sign
94,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p35,73.224305,围绕 off1p4 强点向内侧补点，确认 offset 峰值。,-6.902381,0.212460,"dB(S(P4A:1,P4A:1))","dB(S(P2B:1,P2A:1))",-6.902381,-7.351302,0.448921,0.212460,39.806616,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,35.767798,1.000000,1.900000,1.000000,1.350000,1.000000
95,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p45,71.139809,围绕 off1p4 强点向外侧微调，尝试逼近 -10 dB。,-6.715407,0.183484,"dB(S(P4B:1,P4B:1))","dB(S(P1B:1,P1A:1))",-6.751949,-6.715407,0.036542,0.183484,42.983418,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,36.827270,1.000000,1.900000,1.000000,1.450000,1.000000
96,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p50,70.209744,继续向端口侧移动 1.00 mm 宽支节，检查匹配谷是否更深。,-4.993264,0.230937,"dB(S(P4A:1,P4A:1))","dB(S(P1A:1,P1B:1))",-4.993264,-5.122849,0.129586,0.230937,38.565905,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,54.211068,1.000000,1.900000,1.000000,1.500000,1.000000
97,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55,76.403788,offset 端口侧补点，判断是否进入过补偿。,-9.287674,0.199906,"dB(S(P4A:1,P4A:1))","dB(S(P2A:1,P2B:1))",-9.287674,-9.693955,0.406281,0.199906,42.348697,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,11.835873,1.000000,1.900000,1.000000,1.550000,1.000000
98,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p60,71.328088,offset 上限补点，确认单支节位置调谐极限。,-7.237905,0.251628,"dB(S(P4A:1,P4A:1))","dB(S(P2A:1,P2B:1))",-7.237905,-7.259258,0.021353,0.251628,41.278961,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,31.537846,1.000000,1.900000,1.000000,1.600000,1.000000
99,p9p75_l5p6_w0p70_fw0p80_stub1p90_w0p95_off1p4,72.331362,在 off1p4 处向窄端微调宽度，检查宽度和 offset 交互。,-7.064153,0.232703,"dB(S(P3B:1,P3B:1))","dB(S(P1B:1,P1A:1))",-7.736652,-7.064153,0.672499,0.232703,36.038330,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,34.587116,1.000000,1.900000,0.950000,1.400000,1.000000
100,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p05_off1p4,71.149725,在 off1p4 处向宽端微调宽度，检查是否能越过 -10 dB。,-6.624410,0.191007,"dB(S(P3B:1,P3B:1))","dB(S(P2A:1,P2B:1))",-7.224116,-6.624410,0.599706,0.191007,39.161458,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,38.859806,1.000000,1.900000,1.050000,1.400000,1.000000
101,p9p75_l5p6_w0p70_fw0p80_stub1p85_w1p00_off1p4,74.217740,在 off1p4 处向短端微调支节长度。,-7.219473,0.224484,"dB(S(P3B:1,P3B:1))","dB(S(P2A:1,P2B:1))",-7.613988,-7.219473,0.394515,0.224484,38.195909,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,32.482061,1.000000,1.850000,1.000000,1.400000,1.000000
102,p9p75_l5p6_w0p70_fw0p80_stub1p95_w1p00_off1p4,72.238757,在 off1p4 处向长端微调支节长度。,-7.558760,0.204376,"dB(S(P3B:1,P3B:1))","dB(S(P2B:1,P2A:1))",-8.055114,-7.558760,0.496355,0.204376,41.171177,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,29.302925,1.000000,1.950000,1.000000,1.400000,1.000000
103,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p52,74.364438,围绕 off1p55 近达标点向内侧微扫。,-6.608098,0.200220,"dB(S(P4A:1,P4A:1))","dB(S(P2A:1,P2B:1))",-6.608098,-6.925995,0.317897,0.200220,43.392947,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,38.454705,1.000000,1.900000,1.000000,1.520000,1.000000
104,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p53,72.203513,围绕 off1p55 近达标点向内侧微扫补点。,-7.011057,0.183050,"dB(S(P4A:1,P4A:1))","dB(S(P2B:1,P2A:1))",-7.011057,-7.321772,0.310715,0.183050,42.303250,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,34.419331,1.000000,1.900000,1.000000,1.530000,1.000000
105,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p54,72.231918,off1p55 左侧 0.01 mm 补点，尝试压低最差回波。,-7.367371,0.180598,"dB(S(P4A:1,P4A:1))","dB(S(P1A:1,P1B:1))",-7.367371,-7.593451,0.226080,0.180598,39.701416,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,30.688149,1.000000,1.900000,1.000000,1.540000,1.000000
106,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p56,68.195472,off1p55 右侧 0.01 mm 补点，尝试压低最差回波。,-4.111538,0.166493,"dB(S(P3A:1,P3A:1))","dB(S(P1B:1,P1A:1))",-4.111538,-4.264135,0.152597,0.166493,42.786875,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,63.106566,1.000000,1.900000,1.000000,1.560000,1.000000
107,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p57,72.288426,围绕 off1p55 近达标点向外侧微扫补点。,-6.253643,0.227174,"dB(S(P4B:1,P4B:1))","dB(S(P1B:1,P1A:1))",-6.440933,-6.253643,0.187290,0.227174,39.024499,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,41.724562,1.000000,1.900000,1.000000,1.570000,1.000000
108,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p58,72.206341,围绕 off1p55 近达标点向外侧微扫。,-7.497110,0.251106,"dB(S(P3B:1,P3B:1))","dB(S(P2A:1,P2B:1))",-7.552938,-7.497110,0.055829,0.251106,40.590476,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,29.015009,1.000000,1.900000,1.000000,1.580000,1.000000
109,p9p75_l5p6_w0p70_fw0p80_stub1p90_w0p98_off1p55,72.212025,保持 off1p55，向窄端微调支节宽度。,-6.829015,0.205071,"dB(S(P4B:1,P4B:1))","dB(S(P1A:1,P1B:1))",-6.867295,-6.829015,0.038280,0.205071,37.538270,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,35.683872,1.000000,1.900000,0.980000,1.550000,1.000000
110,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p02_off1p55,72.225401,保持 off1p55，向宽端微调支节宽度。,-6.678466,0.288538,"dB(S(P3B:1,P3B:1))","dB(S(P2B:1,P2A:1))",-6.736819,-6.678466,0.058353,0.288538,36.879036,9.750000,0.500000,1.000000,0.254000,5.600000,5.600000,0.700000,0.000000,0.000000,0.000000,0.000000,10.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,37.187782,1.000000,1.900000,1.020000,1.550000,1.000000
